rank,source_type,sample_id,light_source_name,sigma_ev,absorption_unit,light_source_unit,absorbed_flux_unit,reference_concentration_molar,reference_path_cm,light_flux_total,td_method_basis,td_solvent,gaussian_lambda_max_nm,gaussian_molar_absorptivity_max,gaussian_absorptance_max,gaussian_absorbed_flux,gaussian_absorbed_fraction,gaussian_shape_overlap,lorentzian_lambda_max_nm,lorentzian_molar_absorptivity_max,lorentzian_absorptance_max,lorentzian_absorbed_flux,lorentzian_absorbed_fraction,lorentzian_shape_overlap,delta_absorbed_flux,delta_absorbed_fraction,delta_shape_overlap,abs_delta_absorbed_fraction
1,theoretical,3e_td,LEDB2,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3185.4133673129318,b3lyp/6-31g,,541.7341734173417,32988.58201387445,0.5321418708397718,1317.7929612168618,0.41369606052996866,0.943916076115075,547.9147914791479,23651.107436067425,0.41991861954259113,1079.299658983204,0.3388256199520037,0.9582037226186065,238.49330223365791,0.07487044057796494,-0.014287646503531537,0.07487044057796494
2,theoretical,3e_td,LEDB3,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3155.0429878235573,b3lyp/6-31g,,541.7341734173417,32988.58201387445,0.5321418708397718,1300.2963359459848,0.4121326843926675,0.9514098832820012,547.9147914791479,23651.107436067425,0.41991861954259113,1060.5485159401348,0.3361439194436247,0.9623919461404857,239.74782000584992,0.07598876494904278,-0.010982062858484576,0.07598876494904278
3,theoretical,3e_td,LEDB4,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3131.547799407255,b3lyp/6-31g,,541.7341734173417,32988.58201387445,0.5321418708397718,1278.081073131293,0.40813078867044933,0.9374167216088671,547.9147914791479,23651.107436067425,0.41991861954259113,1042.6199543834935,0.33294077598970145,0.9485505689926109,235.46111874779945,0.07519001268074788,-0.011133847383743789,0.07519001268074788
4,theoretical,3e_td,CIEFL10,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3074.7734784177183,b3lyp/6-31g,,541.7341734173417,32988.58201387445,0.5321418708397718,1232.2851414678414,0.4007726585771049,0.9663996933215354,547.9147914791479,23651.107436067425,0.41991861954259113,1009.3528794507425,0.3282690209654588,0.9802476217996446,222.93226201709888,0.07250363761164613,-0.013847928478109228,0.07250363761164613
5,theoretical,3e_td,AM15G,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,W m^-2,1e-05,1.0,589.120214277655,b3lyp/6-31g,,541.7341734173417,32988.58201387445,0.5321418708397718,195.1641202244114,0.3312806376262446,0.7173293031215805,547.9147914791479,23651.107436067425,0.41991861954259113,167.74014267849404,0.28472990505709816,0.8079591779275814,27.423977545917353,0.046550732569146436,-0.09062987480600093,0.046550732569146436
6,theoretical,3g_td,LEDB4,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3131.547799407255,b3lyp/6-31g,,531.8331833183317,25704.33610506488,0.4467051358894837,1033.179650699566,0.3299261952492401,0.9535649444074964,536.8136813681368,18438.107898461698,0.34593799549030013,827.9729358776634,0.26439734882360205,0.9590761867938732,205.20671482190266,0.06552884642563805,-0.005511242386376791,0.06552884642563805
7,theoretical,3g_td,CIEFL10,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3074.7734784177183,b3lyp/6-31g,,531.8331833183317,25704.33610506488,0.4467051358894837,1011.8252899688166,0.32907311614041335,0.9724484854323434,536.8136813681368,18438.107898461698,0.34593799549030013,809.6378833165371,0.26331626996248764,0.9798577108144662,202.1874066522795,0.06575684617792571,-0.007409225382122742,0.06575684617792571
8,theoretical,3g_td,LEDB3,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3155.0429878235573,b3lyp/6-31g,,531.8331833183317,25704.33610506488,0.4467051358894837,1034.6684464779478,0.3279411565772969,0.9333186247085664,536.8136813681368,18438.107898461698,0.34593799549030013,831.9000920409798,0.26367314019225113,0.9492207094019836,202.76835443696802,0.06426801638504576,-0.01590208469341714,0.06426801638504576
9,theoretical,3g_td,LEDB2,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3185.4133673129318,b3lyp/6-31g,,531.8331833183317,25704.33610506488,0.4467051358894837,1014.1147980471576,0.31836207145153606,0.887048930307912,536.8136813681368,18438.107898461698,0.34593799549030013,826.1952557672307,0.2593683018490536,0.9139590424256103,187.91954227992687,0.05899376960248248,-0.026910112117698337,0.05899376960248248
10,theoretical,4g_td,LEDB2,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3185.4133673129318,b3lyp/6-31g,,800.0,31238.80564063707,0.5129069380768544,995.3014382549862,0.31245597462114527,0.7971337885571808,800.0,21810.560399222522,0.3948063033569803,829.5203101693506,0.2604121394985844,0.881500527080207,165.7811280856356,0.05204383512256089,-0.08436673852302623,0.05204383512256089
