sample_id,rank,light_source_name,source_type,absorption_unit,light_source_unit,gaussian_absorbed_fraction,lorentzian_absorbed_fraction,gaussian_shape_overlap,lorentzian_shape_overlap
3e_td,1,LEDB2,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.41369606052996866,0.3388256199520037,0.943916076115075,0.9582037226186065
3e_td,2,LEDB3,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.4121326843926675,0.3361439194436247,0.9514098832820012,0.9623919461404857
3e_td,3,LEDB4,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.40813078867044933,0.33294077598970145,0.9374167216088671,0.9485505689926109
3e_td,4,CIEFL10,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.4007726585771049,0.3282690209654588,0.9663996933215354,0.9802476217996446
3e_td,5,AM15G,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.3312806376262446,0.28472990505709816,0.7173293031215805,0.8079591779275814
3f_td,1,LEDB2,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.23175230181823778,0.18337835978252828,0.918451196524779,0.9374892832238393
3f_td,2,LEDB3,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.22777259543988065,0.1798395320988859,0.9162088752936258,0.9382442815905292
3f_td,3,LEDB4,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.22310292731882234,0.17695325752805344,0.8887820385615305,0.9172484302992833
3f_td,4,CIEFL10,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.21971067524630802,0.17447980186531606,0.9438503974432021,0.9695617184453854
3f_td,5,AM15G,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.16897193763061627,0.14626194117657712,0.6037617831939711,0.7180561231744245
3g_td,1,LEDB4,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.3299261952492401,0.26439734882360205,0.9535649444074964,0.9590761867938732
3g_td,2,LEDB3,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.3279411565772969,0.26367314019225113,0.9333186247085664,0.9492207094019836
3g_td,3,CIEFL10,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.32907311614041335,0.26331626996248764,0.9724484854323434,0.9798577108144662
3g_td,4,LEDB2,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.31836207145153606,0.2593683018490536,0.887048930307912,0.9139590424256103
3g_td,5,AM15G,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.25156410001205654,0.2193182933730676,0.6437253268490498,0.7572106837295302
4c_td,1,LEDB2,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.25158538800375674,0.19097898334577593,0.950305902253067,0.9340587298547331
4c_td,2,LEDB3,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.24015628387918198,0.18356789760387654,0.9492295600449867,0.9392845159994535
4c_td,3,LEDB4,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.23411987780651597,0.1795299137782664,0.9643111906963994,0.9679241527672445
4c_td,4,AM15G,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.22301549084201766,0.17379033306687144,0.7952110296884214,0.8299042955948821
4c_td,5,CIEFL10,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.2229914166416992,0.17185448766177605,0.985237048937642,0.9850963245818783
4g_td,1,LEDB2,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.31245597462114527,0.2604121394985844,0.7971337885571808,0.881500527080207
4g_td,2,LEDB3,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.274195992422748,0.23632823140241302,0.7152817275307217,0.8248141524003904
4g_td,3,AM15G,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.2710536439680788,0.22780506690522406,0.5846119979005773,0.6618446224990249
4g_td,4,LEDB4,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.25473989989386364,0.22419167292574457,0.7772674381000193,0.8622745743622758
4g_td,5,CIEFL10,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,0.23537455329994583,0.21196570044332358,0.8774914774418061,0.9504424951709146
Coumarin_1,1,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.03076417399056257,0.03076417399056257,0.10447496917096342,0.10447496917096342
Coumarin_1,2,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.0038733171148478754,0.0038733171148478754,0.03942717589370072,0.03942717589370072
Coumarin_1,3,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.00016594151779010936,0.00016594151779010936,0.00255062932607473,0.00255062932607473
Coumarin_1,4,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.00014230984862377552,0.00014230984862377552,0.0016540901029524187,0.0016540901029524187
Coumarin_1,5,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.00013321126814098025,0.00013321126814098025,0.00274323496549957,0.00274323496549957
Coumarin_6,1,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.18049988459943966,0.18049988459943966,0.36192731101677256,0.36192731101677256
Coumarin_6,2,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.17431665234640464,0.17431665234640464,0.27549921135546135,0.27549921135546135
Coumarin_6,3,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.1593223907328072,0.1593223907328072,0.2651767781496991,0.2651767781496991
Coumarin_6,4,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.13193361560985906,0.13193361560985906,0.21211944337443453,0.21211944337443453
Coumarin_6,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.08047420454193234,0.08047420454193234,0.13523294725806348,0.13523294725806348
Coumarin_314,1,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.11803454776987946,0.11803454776987946,0.25550152218596744,0.25550152218596744
